id_str,created_at,text
953539446590332928,2018-01-17 08:08:14,"RT @aprilwensel: ""Coding is hard"" will discourage some people from attempting it.""Coding is easy"" will discourage some people who are att…"
953382219275489280,2018-01-16 21:43:28,"@RobHimself1982 Hang in there, it becomes easier with practice"
953381939771314176,2018-01-16 21:42:22,RT @miguelgrinberg: Part 7 of the Flask Mega-Tutorial is now available. This one is on error handling and unit testing! https://t.co/16UjFR…
953291822683578369,2018-01-16 15:44:16,"RT @raymondh: #python tip:  It is easy to add default arguments to named tuples:&gt;&gt;&gt; Account = namedtuple('Account', ['owner_name', 'acct_n…"
953184289805520896,2018-01-16 08:36:58,RT @makgunay: PyBites Code Challenges | Bite 1. Sum n numbers https://t.co/LwKtUED2wg #python #CodeNewbie
953006430512132098,2018-01-15 20:50:13,@anthonypjshaw Added a Bite :)
953006094674259976,2018-01-15 20:48:53,RT @PythonWeekly: Full-Text Search in Django with PostgreSQL by @pauloxnet https://t.co/HLb8f8QFNU #django #python #postgresql https://t.co…
953004285255667712,2018-01-15 20:41:42,"RT @dbader_org: A library that extends Py dictionaries to allow dotted access down in in the hierarchy, e.g `user.address.street` https://t…"
953003224184840194,2018-01-15 20:37:29,RT @luqiang21: I just cracked Bite of Py 3. Word Values - on behalf of @pybites I Challenge You!  https://t.co/qimYMqc9Dr #Python #CodeChal…
953003084132831232,2018-01-15 20:36:55,@RobHimself1982 Outside your comfort zone you grow ;)
952964465762455552,2018-01-15 18:03:28,"@RobHimself1982 Movies, marvel or other?"
952927456893325314,2018-01-15 15:36:24,RT @PyImageSearch: The first CV/ML conference I ever attended was a complete disaster…and it was totally my fault. Here’s the story behind…
952886276772040704,2018-01-15 12:52:46,RT @bbelderbos: Please love this one:PyBites Code Challenges | Bite 5. Parse a list of names https://t.co/9xdEAjq2Iy#Python
952886032311169025,2018-01-15 12:51:48,» Episode #60 Don't dismiss SQLite as just a starter DB - [Python Bytes Podcast] https://t.co/RVzSLHXOUR
952885657768222720,2018-01-15 12:50:19,@MattStibbs @AndySugs this makes our day
952879514870153216,2018-01-15 12:25:54,"RT @MattStibbs: @AndySugs @pybites Did this exercise first thing, already used what I learned by 11:00!"
952824273294581760,2018-01-15 08:46:24,@jcastle13 well done
952824235717812224,2018-01-15 08:46:15,Don't let mutability of compound objects fool you! https://t.co/76jTypZAD7 #python
952823912047529984,2018-01-15 08:44:57,Using Pandas and Seaborn to solve PyBites Marvel Challenge https://t.co/bKJhIbneVm
952823695134855168,2018-01-15 08:44:06,RT @jcastle13: Day 14: Completed the PyBites Code Challenges | 03 - PyBites Blog Tag Analysis https://t.co/zHRmRN9AT8.#100DaysOfCode
952821181085872129,2018-01-15 08:34:06,RT @AndySugs: fullstackpython: RT pybites: Beginner Pythonistas tend to have trouble parsing nested data structures. Here is a Bite of Py…
952590444168400898,2018-01-14 17:17:14,RT @importpython: Luciano Ramalho on Py... https://t.co/7pP6H7wkdI
952528342108033025,2018-01-14 13:10:28,from pybites import NewsTwitter Digest 2018 Week 03 https://t.co/5w2ob7S0tF
952485653413007360,2018-01-14 10:20:50,"WOW #milestone:391 Pythonistas have solved 1,000 Bites, writing 18,003 lines of code.Join us at… https://t.co/z6m3HmIr0E"
952480166156087297,2018-01-14 09:59:02,Enjoy our new free Bite of Py:PyBites Code Challenges | Bite 30. Movie data analysis https://t.co/ljJSmfxgWZ
952332149910310914,2018-01-14 00:10:52,Almost due: Code Challenges #47 - PyBites First Year in Data (Special) https://t.co/XHJBROl6Vk - PR your data analy… https://t.co/sGUpIPRp39
952329093273530368,2018-01-13 23:58:43,@AndrewsForge Looking forward to this one 💪
952328770777702401,2018-01-13 23:57:27,"@Arclight27 @freeCodeCamp Nice, which one?"
952328693174755328,2018-01-13 23:57:08,RT @Arclight27: Spent time today working on CSS @freeCodeCamp and continuing the #Python challenges at @pybites  #100DaysOfCode #progress
952271690523955201,2018-01-13 20:10:38,RT @AndrewsForge: My #Django Safari live lesson on Jan 16 is full! 😱 Sign up for the same class on Feb 26. Hurry - the class is already hal…
952125330214604800,2018-01-13 10:29:03,@anthonypjshaw lol sounds cool
952021280672202758,2018-01-13 03:35:35,"Wooo it's the weekend! The perfect time to have a crack at an Advanced Bite of #Python! Free for the weekend, give… https://t.co/LM1ZArB0xP"
951946607574036480,2018-01-12 22:38:52,RT @RobHimself1982: Day 11 of #100DaysOfCode and I just cracked Bite of Py 3. Word Values - on behalf of @pybites I Challenge You!  https:/…
951910005216772096,2018-01-12 20:13:25,RT @kaybee335: I am a man of my word! Just purchased The Everything Bundle from @TalkPython!! Great resource for #Python. I about to lose a…
